original_text,encrypted_text,key,cipher_type
the caesar cipher is one of the oldest encryption methods,cqn ljnbja lryqna rb xwn xo cqn xumnbc nwlahycrxw vncqxmb,9,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
frequency analysis is a powerful cryptanalytic technique,rdqcgqzok mzmxkeue ue m baiqdrgx odkbfmzmxkfuo fqotzucgq,12,caesar
breaking ciphers requires understanding patterns,oernxvat pvcuref erdhverf haqrefgnaqvat cnggreaf,13,caesar
breaking ciphers requires understanding patterns,mcplvtyr ntaspcd cpbftcpd fyopcdelyotyr aleepcyd,11,caesar
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,4,caesar
frequency analysis is a powerful cryptanalytic technique,lxkwaktie gtgreyoy oy g vuckxlar ixevzgtgrezoi zkintowak,6,caesar
modern cryptography uses complex mathematical algorithms,vxmnaw lahycxpajyqh dbnb lxvyung vjcqnvjcrlju jupxarcqvb,9,caesar
the quick brown fox jumps over the lazy dog,xli uymgo fvsar jsb nyqtw sziv xli pedc hsk,4,caesar
modern cryptography uses complex mathematical algorithms,acrsfb qfmdhcufodvm igsg qcadzsl aohvsaohwqoz ozucfwhvag,14,caesar
the caesar cipher is one of the oldest encryption methods,rfc aycqyp agnfcp gq mlc md rfc mjbcqr clapwnrgml kcrfmbq,24,caesar
the caesar cipher is one of the oldest encryption methods,hvs qosgof qwdvsf wg cbs ct hvs czrsgh sbqfmdhwcb ashvcrg,14,caesar
modern cryptography uses complex mathematical algorithms,dfuvie tipgkfxirgyp ljvj tfdgcvo drkyvdrkztrc rcxfizkydj,17,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
modern cryptography uses complex mathematical algorithms,tvklyu jyfwavnyhwof bzlz jvtwsle thaolthapjhs hsnvypaotz,7,caesar
frequency analysis is a powerful cryptanalytic technique,htgswgpea cpcnauku ku c rqygthwn etarvcpcnavke vgejpkswg,2,caesar
substitution ciphers replace each letter with another,tvctujuvujpo djqifst sfqmbdf fbdi mfuufs xjui bopuifs,1,caesar
breaking ciphers requires understanding patterns,tjwscafy uahzwjk jwimajwk mfvwjklsfvafy hsllwjfk,18,caesar
machine learning can be applied to cryptanalysis,ymotuzq xqmdzuzs omz nq mbbxuqp fa odkbfmzmxkeue,12,caesar
substitution ciphers replace each letter with another,vxevwlwxwlrq flskhuv uhsodfh hdfk ohwwhu zlwk dqrwkhu,3,caesar
the caesar cipher is one of the oldest encryption methods,nby wuymul wcjbyl cm ihy iz nby ifxymn yhwlsjncih gynbixm,20,caesar
the caesar cipher is one of the oldest encryption methods,pda ywaown yeldan eo kja kb pda khzaop ajynulpekj iapdkzo,22,caesar
hello world this is a test message,fcjjm umpjb rfgq gq y rcqr kcqqyec,24,caesar
frequency analysis is a powerful cryptanalytic technique,wivhlvetp rercpjzj zj r gfnviwlc tipgkrercpkzt kvtyezhlv,17,caesar
frequency analysis is a powerful cryptanalytic technique,bnamqajyu wjwhuoeo eo w lksanbqh ynulpwjwhupey paydjemqa,22,caesar
substitution ciphers replace each letter with another,dfmdetefetzy ntaspcd cpawlnp plns wpeepc htes lyzespc,11,caesar
substitution ciphers replace each letter with another,prypqfqrqflk zfmebop obmixzb bxze ibqqbo tfqe xklqebo,23,caesar
frequency analysis is a powerful cryptanalytic technique,xjwimwfuq sfsdqkak ak s hgowjxmd ujqhlsfsdqlau lwuzfaimw,18,caesar
cryptography is the practice of secure communication,jyfwavnyhwof pz aol wyhjapjl vm zljbyl jvttbupjhapvu,7,caesar
substitution ciphers replace each letter with another,oqxopepqpekj yeldano nalhwya awyd happan sepd wjkpdan,22,caesar
substitution ciphers replace each letter with another,oqxopepqpekj yeldano nalhwya awyd happan sepd wjkpdan,22,caesar
cryptography is the practice of secure communication,wlsjnialujbs cm nby jluwncwy iz mywoly wiggohcwuncih,20,caesar
modern cryptography uses complex mathematical algorithms,wynobx mbizdyqbkzri ecoc mywzvoh wkdrowkdsmkv kvqybsdrwc,10,caesar
substitution ciphers replace each letter with another,kmtklalmlagf uahzwjk jwhdsuw wsuz dwllwj oalz sfglzwj,18,caesar
the quick brown fox jumps over the lazy dog,dro aesmu lbygx pyh tewzc yfob dro vkji nyq,10,caesar
frequency analysis is a powerful cryptanalytic technique,mylxblujf huhsfzpz pz h wvdlymbs jyfwahuhsfapj aljoupxbl,7,caesar
substitution ciphers replace each letter with another,lnulmbmnmbhg vbiaxkl kxietvx xtva exmmxk pbma tghmaxk,19,caesar
modern cryptography uses complex mathematical algorithms,hjyzmi xmtkojbmvkct pnzn xjhkgzs hvoczhvodxvg vgbjmdochn,21,caesar
the caesar cipher is one of the oldest encryption methods,iwt rpthpg rxewtg xh dct du iwt dasthi tcrgneixdc btiwdsh,15,caesar
vigenere cipher uses a keyword for encryption,kxvtctgt rxewtg jhth p ztnldgs udg tcrgneixdc,15,caesar
machine learning can be applied to cryptanalysis,drtyzev cvriezex tre sv rggczvu kf tipgkrercpjzj,17,caesar
vigenere cipher uses a keyword for encryption,tgeclcpc agnfcp sqcq y icwumpb dmp clapwnrgml,24,caesar
cryptography is the practice of secure communication,ynulpkcnwldu eo pda lnwypeya kb oayqna ykiiqjeywpekj,22,caesar
hello world this is a test message,rovvy gybvn drsc sc k docd wocckqo,10,caesar
breaking ciphers requires understanding patterns,xnawgejc yeldano namqenao qjzanopwjzejc lwppanjo,22,caesar
modern cryptography uses complex mathematical algorithms,xzopcy ncjaezrclasj fdpd nzxawpi xlespxletnlw lwrzctesxd,11,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
machine learning can be applied to cryptanalysis,iwydeja hawnjejc ywj xa wllheaz pk ynulpwjwhuoeo,22,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
machine learning can be applied to cryptanalysis,rfhmnsj qjfwsnsl hfs gj fuuqnji yt hwduyfsfqdxnx,5,caesar
the quick brown fox jumps over the lazy dog,vjg swkem dtqyp hqz lworu qxgt vjg ncba fqi,2,caesar
machine learning can be applied to cryptanalysis,cqsxydu buqhdydw sqd ru qffbyut je shofjqdqboiyi,16,caesar
modern cryptography uses complex mathematical algorithms,lncdqm bqxosnfqzogx trdr bnlokdw lzsgdlzshbzk zkfnqhsglr,25,caesar
hello world this is a test message,wtaad ldgas iwxh xh p ithi bthhpvt,15,caesar
substitution ciphers replace each letter with another,npwnodopodji xdkczmn mzkgvxz zvxc gzoozm rdoc vijoczm,21,caesar
modern cryptography uses complex mathematical algorithms,tvklyu jyfwavnyhwof bzlz jvtwsle thaolthapjhs hsnvypaotz,7,caesar
substitution ciphers replace each letter with another,ikrijyjkjyed syfxuhi hufbqsu uqsx bujjuh myjx qdejxuh,16,caesar
substitution ciphers replace each letter with another,acjabqbcbqwv kqxpmza zmxtikm mikp tmbbmz eqbp ivwbpmz,8,caesar
cryptography is the practice of secure communication,xmtkojbmvkct dn ocz kmvxodxz ja nzxpmz xjhhpidxvodji,21,caesar
the quick brown fox jumps over the lazy dog,sgd pthbj aqnvm enw itlor nudq sgd kzyx cnf,25,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
substitution ciphers replace each letter with another,acjabqbcbqwv kqxpmza zmxtikm mikp tmbbmz eqbp ivwbpmz,8,caesar
cryptography is the practice of secure communication,zovmqldoxmev fp qeb moxzqfzb lc pbzrob zljjrkfzxqflk,23,caesar
breaking ciphers requires understanding patterns,qgtpzxcv rxewtgh gtfjxgth jcstghipcsxcv epiitgch,15,caesar
the quick brown fox jumps over the lazy dog,lzw imauc tjgof xgp bmehk gnwj lzw dsrq vgy,18,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
vigenere cipher uses a keyword for encryption,anljsjwj hnumjw zxjx f pjdbtwi ktw jshwduynts,5,caesar
vigenere cipher uses a keyword for encryption,recajana yeldan qoao w gausknz bkn ajynulpekj,22,caesar
breaking ciphers requires understanding patterns,tjwscafy uahzwjk jwimajwk mfvwjklsfvafy hsllwjfk,18,caesar
modern cryptography uses complex mathematical algorithms,xzopcy ncjaezrclasj fdpd nzxawpi xlespxletnlw lwrzctesxd,11,caesar
vigenere cipher uses a keyword for encryption,pcayhyly wcjbyl omym u eysqilx zil yhwlsjncih,20,caesar
breaking ciphers requires understanding patterns,pfsoywbu qwdvsfg fseiwfsg ibrsfghobrwbu dohhsfbg,14,caesar
breaking ciphers requires understanding patterns,qgtpzxcv rxewtgh gtfjxgth jcstghipcsxcv epiitgch,15,caesar
cryptography is the practice of secure communication,apwnrmepynfw gq rfc npyargac md qcaspc amkkslgayrgml,24,caesar
vigenere cipher uses a keyword for encryption,kxvtctgt rxewtg jhth p ztnldgs udg tcrgneixdc,15,caesar
frequency analysis is a powerful cryptanalytic technique,eqdptdmbx zmzkxrhr hr z onvdqetk bqxoszmzkxshb sdbgmhptd,25,caesar
machine learning can be applied to cryptanalysis,hvxcdiz gzvmidib xvi wz vkkgdzy oj xmtkovivgtndn,21,caesar
frequency analysis is a powerful cryptanalytic technique,eqdptdmbx zmzkxrhr hr z onvdqetk bqxoszmzkxshb sdbgmhptd,25,caesar
breaking ciphers requires understanding patterns,rhuqaydw syfxuhi hugkyhui kdtuhijqdtydw fqjjuhdi,16,caesar
machine learning can be applied to cryptanalysis,vjlqrwn unjawrwp ljw kn jyyurnm cx lahycjwjuhbrb,9,caesar
vigenere cipher uses a keyword for encryption,yljhqhuh flskhu xvhv d nhbzrug iru hqfubswlrq,3,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
frequency analysis is a powerful cryptanalytic technique,qcpbfpynj lylwjdtd td l azhpcqfw ncjaelylwjetn epnsytbfp,11,caesar
the caesar cipher is one of the oldest encryption methods,lzw uswksj uahzwj ak gfw gx lzw gdvwkl wfujqhlagf ewlzgvk,18,caesar
hello world this is a test message,mjqqt btwqi ymnx nx f yjxy rjxxflj,5,caesar
cryptography is the practice of secure communication,kzgxbwozixpg qa bpm xzikbqkm wn amkczm kwuucvqkibqwv,8,caesar
substitution ciphers replace each letter with another,prypqfqrqflk zfmebop obmixzb bxze ibqqbo tfqe xklqebo,23,caesar
cryptography is the practice of secure communication,zovmqldoxmev fp qeb moxzqfzb lc pbzrob zljjrkfzxqflk,23,caesar
machine learning can be applied to cryptanalysis,pdfklqh ohduqlqj fdq eh dssolhg wr fubswdqdobvlv,3,caesar
substitution ciphers replace each letter with another,gipghwhihwcb qwdvsfg fsdzoqs soqv zshhsf kwhv obchvsf,14,caesar
the caesar cipher is one of the oldest encryption methods,lzw uswksj uahzwj ak gfw gx lzw gdvwkl wfujqhlagf ewlzgvk,18,caesar
vigenere cipher uses a keyword for encryption,jwusbsfs qwdvsf igsg o ysmkcfr tcf sbqfmdhwcb,14,caesar
the quick brown fox jumps over the lazy dog,aol xbpjr iyvdu mve qbtwz vcly aol shgf kvn,7,caesar
substitution ciphers replace each letter with another,fhofgvghgvba pvcuref ercynpr rnpu yrggre jvgu nabgure,13,caesar
modern cryptography uses complex mathematical algorithms,jlabok zovmqldoxmev rpbp zljmibu jxqebjxqfzxi xidlofqejp,23,caesar
the quick brown fox jumps over the lazy dog,sgd pthbj aqnvm enw itlor nudq sgd kzyx cnf,25,caesar
modern cryptography uses complex mathematical algorithms,zbqrea pelcgbtencul hfrf pbzcyrk zngurzngvpny nytbevguzf,13,caesar
vigenere cipher uses a keyword for encryption,wjhfofsf djqifs vtft b lfzxpse gps fodszqujpo,1,caesar
the caesar cipher is one of the oldest encryption methods,dro mkockb mszrob sc yxo yp dro yvnocd oxmbizdsyx wodrync,10,caesar
substitution ciphers replace each letter with another,gipghwhihwcb qwdvsfg fsdzoqs soqv zshhsf kwhv obchvsf,14,caesar
breaking ciphers requires understanding patterns,zpcyigle agnfcpq pcosgpcq slbcpqrylbgle nyrrcplq,24,caesar
breaking ciphers requires understanding patterns,vlyuecha wcjbylm lykoclym ohxylmnuhxcha junnylhm,20,caesar
machine learning can be applied to cryptanalysis,cqsxydu buqhdydw sqd ru qffbyut je shofjqdqboiyi,16,caesar
machine learning can be applied to cryptanalysis,vjlqrwn unjawrwp ljw kn jyyurnm cx lahycjwjuhbrb,9,caesar
substitution ciphers replace each letter with another,ikrijyjkjyed syfxuhi hufbqsu uqsx bujjuh myjx qdejxuh,16,caesar
the quick brown fox jumps over the lazy dog,gur dhvpx oebja sbk whzcf bire gur ynml qbt,13,caesar
the caesar cipher is one of the oldest encryption methods,pda ywaown yeldan eo kja kb pda khzaop ajynulpekj iapdkzo,22,caesar
substitution ciphers replace each letter with another,qszqrgrsrgml agnfcpq pcnjyac cyaf jcrrcp ugrf ylmrfcp,24,caesar
cryptography is the practice of secure communication,rgneidvgpewn xh iwt egprixrt du htrjgt rdbbjcxrpixdc,15,caesar
cryptography is the practice of secure communication,wlsjnialujbs cm nby jluwncwy iz mywoly wiggohcwuncih,20,caesar
breaking ciphers requires understanding patterns,csfbljoh djqifst sfrvjsft voefstuboejoh qbuufsot,1,caesar
substitution ciphers replace each letter with another,lnulmbmnmbhg vbiaxkl kxietvx xtva exmmxk pbma tghmaxk,19,caesar
modern cryptography uses complex mathematical algorithms,ikzanj ynulpkcnwldu qoao ykilhat iwpdaiwpeywh whcknepdio,22,caesar
the quick brown fox jumps over the lazy dog,wkh txlfn eurzq ira mxpsv ryhu wkh odcb grj,3,caesar
substitution ciphers replace each letter with another,xzgxynyzynts hnumjwx wjuqfhj jfhm qjyyjw bnym fstymjw,5,caesar
vigenere cipher uses a keyword for encryption,bomktkxk iovnkx ayky g qkecuxj lux ktixevzout,6,caesar
the quick brown fox jumps over the lazy dog,cqn zdrlt kaxfw oxg sdvyb xena cqn ujih mxp,9,caesar
substitution ciphers replace each letter with another,dfmdetefetzy ntaspcd cpawlnp plns wpeepc htes lyzespc,11,caesar
machine learning can be applied to cryptanalysis,bprwxct atpgcxcv rpc qt peeaxts id rgneipcpanhxh,15,caesar
the caesar cipher is one of the oldest encryption methods,esp nlpdlc ntaspc td zyp zq esp zwopde pyncjaetzy xpeszod,11,caesar
substitution ciphers replace each letter with another,bdkbcrcdcrxw lryqnab anyujln njlq unccna frcq jwxcqna,9,caesar
substitution ciphers replace each letter with another,bdkbcrcdcrxw lryqnab anyujln njlq unccna frcq jwxcqna,9,caesar
hello world this is a test message,xubbe mehbt jxyi yi q juij cuiiqwu,16,caesar
the quick brown fox jumps over the lazy dog,rfc osgai zpmul dmv hsknq mtcp rfc jyxw bme,24,caesar
breaking ciphers requires understanding patterns,dtgcmkpi ekrjgtu tgswktgu wpfgtuvcpfkpi rcvvgtpu,2,caesar
the caesar cipher is one of the oldest encryption methods,bpm kimaiz kqxpmz qa wvm wn bpm wtlmab mvkzgxbqwv umbpwla,8,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
the quick brown fox jumps over the lazy dog,sgd pthbj aqnvm enw itlor nudq sgd kzyx cnf,25,caesar
the quick brown fox jumps over the lazy dog,bpm ycqks jzwev nwf rcuxa wdmz bpm tihg lwo,8,caesar
machine learning can be applied to cryptanalysis,nbdijof mfbsojoh dbo cf bqqmjfe up dszqubobmztjt,1,caesar
modern cryptography uses complex mathematical algorithms,rtijws hwduytlwfumd zxjx htruqjc rfymjrfynhfq fqltwnymrx,5,caesar
machine learning can be applied to cryptanalysis,rfhmnsj qjfwsnsl hfs gj fuuqnji yt hwduyfsfqdxnx,5,caesar
vigenere cipher uses a keyword for encryption,recajana yeldan qoao w gausknz bkn ajynulpekj,22,caesar
hello world this is a test message,axeeh phkew mabl bl t mxlm fxlltzx,19,caesar
machine learning can be applied to cryptanalysis,bprwxct atpgcxcv rpc qt peeaxts id rgneipcpanhxh,15,caesar
frequency analysis is a powerful cryptanalytic technique,eqdptdmbx zmzkxrhr hr z onvdqetk bqxoszmzkxshb sdbgmhptd,25,caesar
the caesar cipher is one of the oldest encryption methods,znk igkygx iovnkx oy utk ul znk urjkyz ktixevzout skznujy,6,caesar
modern cryptography uses complex mathematical algorithms,gixylh wlsjnialujbs omym wigjfyr gunbyguncwuf ufailcnbgm,20,caesar
hello world this is a test message,gdkkn vnqkc sghr hr z sdrs ldrrzfd,25,caesar
cryptography is the practice of secure communication,mbizdyqbkzri sc dro zbkmdsmo yp comebo mywwexsmkdsyx,10,caesar
hello world this is a test message,axeeh phkew mabl bl t mxlm fxlltzx,19,caesar
the quick brown fox jumps over the lazy dog,dro aesmu lbygx pyh tewzc yfob dro vkji nyq,10,caesar
modern cryptography uses complex mathematical algorithms,ikzanj ynulpkcnwldu qoao ykilhat iwpdaiwpeywh whcknepdio,22,caesar
substitution ciphers replace each letter with another,fhofgvghgvba pvcuref ercynpr rnpu yrggre jvgu nabgure,13,caesar
machine learning can be applied to cryptanalysis,pdfklqh ohduqlqj fdq eh dssolhg wr fubswdqdobvlv,3,caesar
modern cryptography uses complex mathematical algorithms,jlabok zovmqldoxmev rpbp zljmibu jxqebjxqfzxi xidlofqejp,23,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
frequency analysis is a powerful cryptanalytic technique,bnamqajyu wjwhuoeo eo w lksanbqh ynulpwjwhupey paydjemqa,22,caesar
modern cryptography uses complex mathematical algorithms,qshivr gvctxskvetlc ywiw gsqtpib qexliqexmgep epksvmxlqw,4,caesar
modern cryptography uses complex mathematical algorithms,oqfgtp etarvqitcrja wugu eqorngz ocvjgocvkecn cniqtkvjou,2,caesar
the caesar cipher is one of the oldest encryption methods,lzw uswksj uahzwj ak gfw gx lzw gdvwkl wfujqhlagf ewlzgvk,18,caesar
substitution ciphers replace each letter with another,oqxopepqpekj yeldano nalhwya awyd happan sepd wjkpdan,22,caesar
the caesar cipher is one of the oldest encryption methods,wkh fdhvdu flskhu lv rqh ri wkh roghvw hqfubswlrq phwkrgv,3,caesar
breaking ciphers requires understanding patterns,wmzvfdib xdkczmn mzlpdmzn piyzmnoviydib kvoozmin,21,caesar
the caesar cipher is one of the oldest encryption methods,uif dbftbs djqifs jt pof pg uif pmeftu fodszqujpo nfuipet,1,caesar
substitution ciphers replace each letter with another,ikrijyjkjyed syfxuhi hufbqsu uqsx bujjuh myjx qdejxuh,16,caesar
hello world this is a test message,vszzc kcfzr hvwg wg o hsgh asggous,14,caesar
the caesar cipher is one of the oldest encryption methods,ocz xvznvm xdkczm dn jiz ja ocz jgyzno zixmtkodji hzocjyn,21,caesar
vigenere cipher uses a keyword for encryption,sfdbkbob zfmebo rpbp x hbvtloa clo bkzovmqflk,23,caesar
cryptography is the practice of secure communication,qfmdhcufodvm wg hvs dfoqhwqs ct gsqifs qcaaibwqohwcb,14,caesar
cryptography is the practice of secure communication,apwnrmepynfw gq rfc npyargac md qcaspc amkkslgayrgml,24,caesar
breaking ciphers requires understanding patterns,wmzvfdib xdkczmn mzlpdmzn piyzmnoviydib kvoozmin,21,caesar
frequency analysis is a powerful cryptanalytic technique,zlykoyhws uhufsmcm cm u jiqylzof wlsjnuhufsncw nywbhckoy,20,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
vigenere cipher uses a keyword for encryption,kxvtctgt rxewtg jhth p ztnldgs udg tcrgneixdc,15,caesar
substitution ciphers replace each letter with another,qszqrgrsrgml agnfcpq pcnjyac cyaf jcrrcp ugrf ylmrfcp,24,caesar
modern cryptography uses complex mathematical algorithms,vxmnaw lahycxpajyqh dbnb lxvyung vjcqnvjcrlju jupxarcqvb,9,caesar
the caesar cipher is one of the oldest encryption methods,bpm kimaiz kqxpmz qa wvm wn bpm wtlmab mvkzgxbqwv umbpwla,8,caesar
hello world this is a test message,qnuux fxaum cqrb rb j cnbc vnbbjpn,9,caesar
vigenere cipher uses a keyword for encryption,dqomvmzm kqxpmz cama i smgewzl nwz mvkzgxbqwv,8,caesar
vigenere cipher uses a keyword for encryption,obzxgxkx vbiaxk nlxl t dxrphkw yhk xgvkrimbhg,19,caesar
modern cryptography uses complex mathematical algorithms,ikzanj ynulpkcnwldu qoao ykilhat iwpdaiwpeywh whcknepdio,22,caesar
substitution ciphers replace each letter with another,dfmdetefetzy ntaspcd cpawlnp plns wpeepc htes lyzespc,11,caesar
the quick brown fox jumps over the lazy dog,jxu gkysa rhemd ven zkcfi eluh jxu bqpo tew,16,caesar
the caesar cipher is one of the oldest encryption methods,znk igkygx iovnkx oy utk ul znk urjkyz ktixevzout skznujy,6,caesar
vigenere cipher uses a keyword for encryption,cpnlulyl jpwoly bzlz h rlfdvyk mvy lujyfwapvu,7,caesar
the caesar cipher is one of the oldest encryption methods,cqn ljnbja lryqna rb xwn xo cqn xumnbc nwlahycrxw vncqxmb,9,caesar
the caesar cipher is one of the oldest encryption methods,cqn ljnbja lryqna rb xwn xo cqn xumnbc nwlahycrxw vncqxmb,9,caesar
modern cryptography uses complex mathematical algorithms,jlabok zovmqldoxmev rpbp zljmibu jxqebjxqfzxi xidlofqejp,23,caesar
frequency analysis is a powerful cryptanalytic technique,xjwimwfuq sfsdqkak ak s hgowjxmd ujqhlsfsdqlau lwuzfaimw,18,caesar
the quick brown fox jumps over the lazy dog,kyv hlztb sifne wfo aldgj fmvi kyv crqp ufx,17,caesar
machine learning can be applied to cryptanalysis,pdfklqh ohduqlqj fdq eh dssolhg wr fubswdqdobvlv,3,caesar
machine learning can be applied to cryptanalysis,kyafglc jcyplgle ayl zc ynnjgcb rm apwnrylyjwqgq,24,caesar
substitution ciphers replace each letter with another,ikrijyjkjyed syfxuhi hufbqsu uqsx bujjuh myjx qdejxuh,16,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
machine learning can be applied to cryptanalysis,jxzefkb ibxokfkd zxk yb xmmifba ql zovmqxkxivpfp,23,caesar
vigenere cipher uses a keyword for encryption,qdbzizmz xdkczm pnzn v fztrjmy ajm zixmtkodji,21,caesar
vigenere cipher uses a keyword for encryption,kxvtctgt rxewtg jhth p ztnldgs udg tcrgneixdc,15,caesar
the quick brown fox jumps over the lazy dog,wkh txlfn eurzq ira mxpsv ryhu wkh odcb grj,3,caesar
frequency analysis is a powerful cryptanalytic technique,nzmycmvkg ivitgaqa qa i xwemznct kzgxbivitgbqk bmkpvqycm,8,caesar
substitution ciphers replace each letter with another,prypqfqrqflk zfmebop obmixzb bxze ibqqbo tfqe xklqebo,23,caesar
machine learning can be applied to cryptanalysis,wkmrsxo vokbxsxq mkx lo kzzvson dy mbizdkxkvicsc,10,caesar
modern cryptography uses complex mathematical algorithms,yapqdz odkbfasdmbtk geqe oaybxqj ymftqymfuomx mxsaduftye,12,caesar
vigenere cipher uses a keyword for encryption,naywfwjw uahzwj mkwk s cwqogjv xgj wfujqhlagf,18,caesar
breaking ciphers requires understanding patterns,ndqmwuzs oubtqde dqcgudqe gzpqdefmzpuzs bmffqdze,12,caesar
substitution ciphers replace each letter with another,qszqrgrsrgml agnfcpq pcnjyac cyaf jcrrcp ugrf ylmrfcp,24,caesar
breaking ciphers requires understanding patterns,mcplvtyr ntaspcd cpbftcpd fyopcdelyotyr aleepcyd,11,caesar
the caesar cipher is one of the oldest encryption methods,qeb zxbpxo zfmebo fp lkb lc qeb liabpq bkzovmqflk jbqelap,23,caesar
vigenere cipher uses a keyword for encryption,erpnwnan lryqna dbnb j tnhfxam oxa nwlahycrxw,9,caesar
frequency analysis is a powerful cryptanalytic technique,oanzdnwlh jwjuhbrb rb j yxfnaodu lahycjwjuhcrl cnlqwrzdn,9,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
machine learning can be applied to cryptanalysis,xlnstyp wplcytyr nly mp laawtpo ez ncjaelylwjdtd,11,caesar
hello world this is a test message,fcjjm umpjb rfgq gq y rcqr kcqqyec,24,caesar
breaking ciphers requires understanding patterns,aqdzjhmf bhogdqr qdpthqdr tmcdqrszmchmf ozssdqmr,25,caesar
cryptography is the practice of secure communication,jyfwavnyhwof pz aol wyhjapjl vm zljbyl jvttbupjhapvu,7,caesar
machine learning can be applied to cryptanalysis,kyafglc jcyplgle ayl zc ynnjgcb rm apwnrylyjwqgq,24,caesar
vigenere cipher uses a keyword for encryption,erpnwnan lryqna dbnb j tnhfxam oxa nwlahycrxw,9,caesar
modern cryptography uses complex mathematical algorithms,lncdqm bqxosnfqzogx trdr bnlokdw lzsgdlzshbzk zkfnqhsglr,25,caesar
breaking ciphers requires understanding patterns,vlyuecha wcjbylm lykoclym ohxylmnuhxcha junnylhm,20,caesar
frequency analysis is a powerful cryptanalytic technique,jviuyirgc erepcwmw mw e tsaivjyp gvctxerepcxmg xiglrmuyi,4,caesar
machine learning can be applied to cryptanalysis,wkmrsxo vokbxsxq mkx lo kzzvson dy mbizdkxkvicsc,10,caesar
machine learning can be applied to cryptanalysis,ymotuzq xqmdzuzs omz nq mbbxuqp fa odkbfmzmxkeue,12,caesar
cryptography is the practice of secure communication,mbizdyqbkzri sc dro zbkmdsmo yp comebo mywwexsmkdsyx,10,caesar
the quick brown fox jumps over the lazy dog,qeb nrfzh yoltk clu grjmp lsbo qeb ixwv ald,23,caesar
breaking ciphers requires understanding patterns,gwjfpnsl hnumjwx wjvznwjx zsijwxyfsinsl ufyyjwsx,5,caesar
frequency analysis is a powerful cryptanalytic technique,htgswgpea cpcnauku ku c rqygthwn etarvcpcnavke vgejpkswg,2,caesar
the quick brown fox jumps over the lazy dog,lzw imauc tjgof xgp bmehk gnwj lzw dsrq vgy,18,caesar
frequency analysis is a powerful cryptanalytic technique,cobnrbkzv xkxivpfp fp x mltbocri zovmqxkxivqfz qbzekfnrb,23,caesar
cryptography is the practice of secure communication,xmtkojbmvkct dn ocz kmvxodxz ja nzxpmz xjhhpidxvodji,21,caesar
vigenere cipher uses a keyword for encryption,zmkirivi gmtliv ywiw e oicasvh jsv irgvctxmsr,4,caesar
the quick brown fox jumps over the lazy dog,max jnbvd ukhpg yhq cnfil hoxk max etsr whz,19,caesar
frequency analysis is a powerful cryptanalytic technique,vhugkudso qdqboiyi yi q femuhvkb shofjqdqbojys jusxdygku,16,caesar
vigenere cipher uses a keyword for encryption,kxvtctgt rxewtg jhth p ztnldgs udg tcrgneixdc,15,caesar
the caesar cipher is one of the oldest encryption methods,znk igkygx iovnkx oy utk ul znk urjkyz ktixevzout skznujy,6,caesar
the quick brown fox jumps over the lazy dog,cqn zdrlt kaxfw oxg sdvyb xena cqn ujih mxp,9,caesar
vigenere cipher uses a keyword for encryption,zmkirivi gmtliv ywiw e oicasvh jsv irgvctxmsr,4,caesar
hello world this is a test message,uryyb jbeyq guvf vf n grfg zrffntr,13,caesar
vigenere cipher uses a keyword for encryption,yljhqhuh flskhu xvhv d nhbzrug iru hqfubswlrq,3,caesar
modern cryptography uses complex mathematical algorithms,hjyzmi xmtkojbmvkct pnzn xjhkgzs hvoczhvodxvg vgbjmdochn,21,caesar
the quick brown fox jumps over the lazy dog,ymj vznhp gwtbs ktc ozrux tajw ymj qfed itl,5,caesar
cryptography is the practice of secure communication,vkrimhzktiar bl max iktvmbvx hy lxvnkx vhffngbvtmbhg,19,caesar
frequency analysis is a powerful cryptanalytic technique,iuhtxhqfb dqdobvlv lv d srzhuixo fubswdqdobwlf whfkqltxh,3,caesar
machine learning can be applied to cryptanalysis,qeglmri pievrmrk ger fi ettpmih xs gvctxerepcwmw,4,caesar
